t,u,y
32.42000000,2.07637906,565.71429443
32.44000000,2.07637906,565.71429443
32.46000000,2.07637906,559.28576660
32.48000000,2.07637906,559.28576660
32.50000000,2.07637906,552.85717773
32.52000000,2.07637906,552.85717773
32.54000000,2.07637906,552.85717773
32.56000000,2.07637906,546.42858887
32.58000000,2.07637906,546.42858887
32.60000000,2.07637906,552.85717773
32.62000000,2.07637906,546.42858887
32.64000000,2.89896154,552.85717773
32.66000000,2.89896154,552.85717773
32.68000000,2.89896154,565.71429443
32.70000000,2.89896154,578.57147217
32.72000000,2.89896154,585.00006104
32.74000000,2.89896154,591.42864990
32.76000000,2.89896154,597.85717773
32.78000000,2.89896154,597.85717773
32.80000000,2.89896154,604.28576660
32.82000000,2.89896154,597.85717773
32.84000000,2.89896154,597.85717773
32.86000000,2.89896154,604.28576660
32.88000000,2.89896154,597.85717773
32.90000000,2.89896154,604.28576660
32.92000000,2.89896154,604.28576660
32.94000000,2.89896154,604.28576660
32.96000000,2.07637906,604.28576660
32.98000000,2.07637906,597.85717773
33.00000000,2.07637906,591.42864990
33.02000000,2.07637906,585.00006104
33.04000000,2.07637906,572.14288330
33.06000000,2.07637906,572.14288330
33.08000000,2.07637906,559.28576660
33.10000000,2.07637906,565.71429443
33.12000000,2.89896154,559.28576660
33.14000000,2.89896154,559.28576660
33.16000000,2.89896154,572.14288330
33.18000000,2.89896154,585.00006104
33.20000000,2.89896154,597.85717773
33.22000000,2.89896154,597.85717773
33.24000000,2.89896154,597.85717773
33.26000000,2.89896154,604.28576660
33.28000000,2.89896154,604.28576660
33.30000000,2.89896154,610.71435547
33.32000000,2.89896154,604.28576660
33.34000000,2.89896154,597.85717773
33.36000000,2.89896154,604.28576660
33.38000000,2.89896154,604.28576660
33.40000000,2.89896154,604.28576660
33.42000000,2.89896154,604.28576660
33.44000000,2.89896154,604.28576660
33.46000000,2.89896154,604.28576660
33.48000000,2.89896154,604.28576660
33.50000000,2.89896154,604.28576660
33.52000000,2.89896154,604.28576660
33.54000000,2.89896154,604.28576660
33.56000000,2.89896154,604.28576660
33.58000000,2.89896154,610.71435547
33.60000000,2.89896154,604.28576660
33.62000000,2.89896154,604.28576660
33.64000000,2.89896154,604.28576660
33.66000000,2.89896154,604.28576660
33.68000000,2.89896154,604.28576660
33.70000000,2.89896154,604.28576660
33.72000000,2.89896154,604.28576660
33.74000000,2.89896154,604.28576660
33.76000000,2.07637906,604.28576660
33.78000000,2.07637906,604.28576660
33.80000000,2.07637906,597.85717773
33.82000000,2.07637906,585.00006104
33.84000000,2.07637906,578.57147217
33.86000000,2.07637906,572.14288330
33.88000000,2.07637906,565.71429443
33.90000000,2.07637906,565.71429443
33.92000000,2.89896154,559.28576660
33.94000000,2.89896154,565.71429443
33.96000000,2.89896154,572.14288330
33.98000000,2.89896154,585.00006104
34.00000000,2.89896154,597.85717773
34.02000000,2.89896154,591.42864990
34.04000000,2.89896154,597.85717773
34.06000000,2.89896154,604.28576660
34.08000000,2.89896154,597.85717773
34.10000000,2.89896154,604.28576660
34.12000000,2.89896154,604.28576660
34.14000000,2.89896154,604.28576660
34.16000000,2.89896154,604.28576660
34.18000000,2.89896154,604.28576660
34.20000000,2.89896154,604.28576660
34.22000000,2.89896154,604.28576660
34.24000000,2.89896154,604.28576660
34.26000000,2.89896154,604.28576660
34.28000000,2.89896154,604.28576660
34.30000000,2.89896154,597.85717773
34.32000000,2.89896154,604.28576660
34.34000000,2.89896154,604.28576660
34.36000000,2.89896154,604.28576660
34.38000000,2.89896154,604.28576660
34.40000000,2.07637906,610.71435547
34.42000000,2.07637906,604.28576660
34.44000000,2.07637906,597.85717773
34.46000000,2.07637906,585.00006104
34.48000000,2.07637906,572.14288330
34.50000000,2.07637906,572.14288330
34.52000000,2.07637906,565.71429443
34.54000000,2.07637906,565.71429443
34.56000000,2.89896154,559.28576660
34.58000000,2.89896154,559.28576660
34.60000000,2.89896154,572.14288330
34.62000000,2.89896154,578.57147217
34.64000000,2.89896154,591.42864990
34.66000000,2.89896154,591.42864990
34.68000000,2.89896154,597.85717773
34.70000000,2.89896154,597.85717773
34.72000000,2.07637906,597.85717773
34.74000000,2.07637906,597.85717773
34.76000000,2.07637906,585.00006104
34.78000000,2.07637906,572.14288330
34.80000000,2.07637906,572.14288330
34.82000000,2.07637906,565.71429443
34.84000000,2.07637906,559.28576660
34.86000000,2.07637906,559.28576660
34.88000000,2.89896154,552.85717773
34.90000000,2.89896154,559.28576660
34.92000000,2.89896154,572.14288330
34.94000000,2.89896154,585.00006104
34.96000000,2.89896154,591.42864990
34.98000000,2.89896154,591.42864990
35.00000000,2.89896154,597.85717773
35.02000000,2.89896154,597.85717773
35.04000000,2.07637906,597.85717773
35.06000000,2.07637906,591.42864990
35.08000000,2.07637906,591.42864990
35.10000000,2.07637906,578.57147217
35.12000000,2.07637906,565.71429443
35.14000000,2.07637906,565.71429443
35.16000000,2.07637906,559.28576660
35.18000000,2.07637906,559.28576660
35.20000000,2.89896154,559.28576660
35.22000000,2.89896154,552.85717773
35.24000000,2.89896154,565.71429443
35.26000000,2.89896154,585.00006104
35.28000000,2.89896154,585.00006104
35.30000000,2.89896154,597.85717773
35.32000000,2.89896154,591.42864990
35.34000000,2.89896154,597.85717773
35.36000000,2.89896154,597.85717773
35.38000000,2.89896154,597.85717773
35.40000000,2.89896154,597.85717773
35.42000000,2.89896154,597.85717773
35.44000000,2.89896154,597.85717773
35.46000000,2.89896154,604.28576660
35.48000000,2.89896154,597.85717773
35.50000000,2.89896154,597.85717773
35.52000000,2.89896154,597.85717773
35.54000000,2.89896154,597.85717773
35.56000000,2.89896154,597.85717773
35.58000000,2.89896154,604.28576660
35.60000000,2.89896154,597.85717773
35.62000000,2.89896154,604.28576660
35.64000000,2.89896154,604.28576660
35.66000000,2.89896154,597.85717773
35.68000000,2.07637906,604.28576660
35.70000000,2.07637906,597.85717773
35.72000000,2.07637906,591.42864990
35.74000000,2.07637906,578.57147217
35.76000000,2.07637906,572.14288330
35.78000000,2.07637906,572.14288330
35.80000000,2.07637906,565.71429443
35.82000000,2.07637906,559.28576660
35.84000000,2.07637906,559.28576660
35.86000000,2.07637906,552.85717773
35.88000000,2.07637906,559.28576660
35.90000000,2.07637906,546.42858887
35.92000000,2.07637906,552.85717773
35.94000000,2.07637906,552.85717773
35.96000000,2.07637906,546.42858887
35.98000000,2.07637906,546.42858887
36.00000000,2.89896154,552.85717773
36.02000000,2.89896154,552.85717773
36.04000000,2.89896154,565.71429443
36.06000000,2.89896154,578.57147217
36.08000000,2.89896154,585.00006104
36.10000000,2.89896154,591.42864990
